SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
VK1/AC-041,Australia - Capital Territory,Australian Capital Territory,Isaacs Ridge,840,2756,149.12500,-35.38083,149.1250,-35.3808,1,0,01/02/2013,31/12/2099,65,09/11/2019,VK1AD/P,
VK1/AC-042,Australia - Capital Territory,Australian Capital Territory,Black Mountain,812,2664,149.09750,-35.27417,149.0975,-35.2742,1,0,01/02/2013,31/12/2099,114,08/11/2019,VK1DA,
VK1/AC-043,Australia - Capital Territory,Australian Capital Territory,Mt Stromlo,782,2566,149.01139,-35.31667,149.0114,-35.3167,1,0,01/02/2013,31/12/2099,200,16/11/2019,VK1MCW/P,
VK1/AC-044,Australia - Capital Territory,Australian Capital Territory,Boboyan Range,1489,4885,149.00203,-35.82917,149.0020,-35.8292,4,3,01/02/2014,31/12/2099,20,31/03/2018,VK1DI/P,
VK1/AC-045,Australia - Capital Territory,Australian Capital Territory,Prairie Dog Hill,1330,4364,148.91277,-35.60104,148.9128,-35.6010,2,3,01/02/2014,31/12/2099,2,13/09/2015,VK1NAM/P,
VK1/AC-046,Australia - Capital Territory,Australian Capital Territory,Mt Brandy Flat,1316,4318,149.01853,-35.66004,149.0185,-35.6600,2,3,01/02/2014,31/12/2099,2,06/07/2014,VK1RX,
VK1/AC-047,Australia - Capital Territory,Australian Capital Territory,Apollo Hill,1228,4029,149.00864,-35.55035,149.0086,-35.5504,2,3,01/02/2014,31/12/2099,0,,,
VK1/AC-048,Australia - Capital Territory,Australian Capital Territory,Mount McDonald,789,2589,148.94180,-35.30746,148.9418,-35.3075,1,0,01/02/2014,31/12/2099,52,11/05/2019,VK1MCW/P,
VK2/CT-001,Australia - NSW,Central Tablelands,Mount Canobolas,1397,4583,148.9833,-33.3431,148.9833,-33.3431,8,3,01/09/2013,31/12/2099,28,14/07/2018,VK2NU/P,
VK2/CT-002,Australia - NSW,Central Tablelands,Mount Trickett,1371,4498,149.9842,-33.8331,149.9842,-33.8331,8,3,01/09/2013,31/12/2099,32,20/06/2019,VK2HRX,
VK2/CT-003,Australia - NSW,Central Tablelands,Mount Bindo,1363,4472,150.0096,-33.6772,150.0096,-33.6772,8,3,01/09/2013,31/12/2099,38,20/06/2019,VK2HRX,
VK2/CT-004,Australia - NSW,Central Tablelands,VK2/CT-004,1330,4364,149.9868,-33.759,149.9868,-33.7590,8,3,01/09/2013,31/12/2099,20,15/07/2018,VA3OZI/P,
VK2/CT-005,Australia - NSW,Central Tablelands,VK2/CT-005,1310,4298,150.0115,-33.7496,150.0115,-33.7496,8,3,01/09/2013,31/12/2099,31,20/06/2019,VK2HRX,
VK2/CT-006,Australia - NSW,Central Tablelands,Bonfire Hill,1292,4239,150.0072,-33.6398,150.0072,-33.6398,8,3,01/09/2013,31/12/2099,23,24/06/2018,VK2IO/P,
VK2/CT-007,Australia - NSW,Central Tablelands,Mount Lambie,1290,4232,149.9886,-33.4716,149.9886,-33.4716,8,3,01/09/2013,31/12/2099,40,06/04/2019,VK2WP,
VK2/CT-008,Australia - NSW,Central Tablelands,Mount Tarana,1277,4190,149.8824,-33.5019,149.8824,-33.5019,8,3,01/09/2013,31/12/2099,3,27/06/2016,VK2AOH,
VK2/CT-009,Australia - NSW,Central Tablelands,Mount Coricudgy,1244,4081,150.3557,-32.8365,150.3557,-32.8365,8,3,01/09/2013,31/12/2099,1,16/01/2015,VK2AOH,
VK2/CT-010,Australia - NSW,Central Tablelands,East Bluff,1241,4072,150.2484,-31.8408,150.2484,-31.8408,8,3,01/09/2013,31/12/2099,0,,,
VK2/CT-011,Australia - NSW,Central Tablelands,Mount Macquarie,1205,3953,149.1808,-33.6463,149.1808,-33.6463,8,3,01/09/2013,31/12/2099,20,26/06/2018,VK2IO/P,
VK2/CT-012,Australia - NSW,Central Tablelands,VK2/CT-012,1190,3904,150.1966,-33.4289,150.1966,-33.4289,6,0,01/09/2013,31/12/2099,30,30/06/2018,VK2WP,
VK2/CT-013,Australia - NSW,Central Tablelands,Mount Wilworril,1180,3871,150.2756,-32.8068,150.2756,-32.8068,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-014,Australia - NSW,Central Tablelands,Mount Durambang,1160,3806,150.2442,-32.9004,150.2442,-32.9004,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-015,Australia - NSW,Central Tablelands,Mount Cloudmaker,1160,3806,150.1811,-33.9458,150.1811,-33.9458,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-016,Australia - NSW,Central Tablelands,Tayan Peak,1156,3793,150.2214,-32.9687,150.2214,-32.9687,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-017,Australia - NSW,Central Tablelands,Nullo Mountain,1154,3786,150.2415,-32.7186,150.2415,-32.7186,6,0,01/09/2013,31/12/2099,2,07/07/2018,VK2WP,
VK2/CT-018,Australia - NSW,Central Tablelands,Mount Midderula,1140,3740,150.2835,-32.8197,150.2835,-32.8197,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-019,Australia - NSW,Central Tablelands,Mount Walker,1140,3740,150.0925,-33.4847,150.0925,-33.4847,6,0,01/09/2013,31/12/2099,9,25/06/2018,VK2IO/P,
VK2/CT-020,Australia - NSW,Central Tablelands,VK2/CT-020,1124,3688,149.8567,-33.0857,149.8567,-33.0857,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-021,Australia - NSW,Central Tablelands,Mount Never Never,1120,3675,150.2556,-32.801,150.2556,-32.8010,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-022,Australia - NSW,Central Tablelands,Mt Kelgoola,1102,3615,150.2714,-32.8293,150.2714,-32.8293,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-023,Australia - NSW,Central Tablelands,Mt Pomany,1100,3609,150.3185,-32.656,150.3185,-32.6560,6,0,01/09/2013,31/12/2099,1,05/10/2015,VK2AOH,
VK2/CT-024,Australia - NSW,Central Tablelands,Bin Ben,1095,3593,150.3156,-32.8743,150.3156,-32.8743,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-025,Australia - NSW,Central Tablelands,Mt Cox,1090,3576,150.2975,-32.6871,150.2975,-32.6871,6,0,01/09/2013,31/12/2099,2,27/10/2018,VK2WP,
VK2/CT-026,Australia - NSW,Central Tablelands,Mount Darcy,1079,3540,150.3139,-32.8918,150.3139,-32.8918,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-027,Australia - NSW,Central Tablelands,Middle Bald Hill,1077,3533,149.5775,-33.0294,149.5775,-33.0294,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-028,Australia - NSW,Central Tablelands,Baldy Peak,1070,3510,149.9899,-32.8719,149.9899,-32.8719,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-029,Australia - NSW,Central Tablelands,Jews Mountain,1062,3484,149.9918,-33.2327,149.9918,-33.2327,6,0,01/09/2013,31/12/2099,2,01/09/2016,VK2JDL/P,
VK2/CT-030,Australia - NSW,Central Tablelands,Wheelbarrow Mountain,1060,3478,150.1014,-32.7189,150.1014,-32.7189,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-031,Australia - NSW,Central Tablelands,Mount Bulga,1060,3478,149.186,-33.2594,149.1860,-33.2594,6,0,01/09/2013,31/12/2099,17,15/07/2018,VK2NU/P,
VK2/CT-032,Australia - NSW,Central Tablelands,Mount Banks,1060,3478,150.3698,-33.5868,150.3698,-33.5868,6,0,01/09/2013,31/12/2099,33,14/07/2019,VK/ZL2AJ,
VK2/CT-033,Australia - NSW,Central Tablelands,Boiga Mountain,1059,3474,149.5679,-32.8783,149.5679,-32.8783,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-034,Australia - NSW,Central Tablelands,Mount Colong,1058,3471,150.1426,-34.124,150.1426,-34.1240,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-035,Australia - NSW,Central Tablelands,VK2/CT-035,1038,3406,150.0561,-33.1192,150.0561,-33.1192,6,0,01/09/2013,31/12/2099,1,29/03/2016,VK2IO/P,
VK2/CT-036,Australia - NSW,Central Tablelands,VK2/CT-036,1036,3399,149.3531,-34.2385,149.3531,-34.2385,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-037,Australia - NSW,Central Tablelands,Mount Airly,1034,3392,150.0257,-33.1087,150.0257,-33.1087,6,0,01/09/2013,31/12/2099,1,27/06/2018,VK2IO/P,
VK2/CT-038,Australia - NSW,Central Tablelands,Mount Fitzgerald,1030,3379,149.8893,-32.9472,149.8893,-32.9472,6,0,01/09/2013,31/12/2099,0,,,
