Latitude,Longitude,Elevation,SaddleLatitude,SaddleLongitude,Prominence
-10.3725,150.1675,1453,-10.385,150.1475,633
-10.4308,150.3142,1558,-10.445,150.3208,594
-10.4342,150.3275,1571,-10.435,150.3333,581
-10.4442,150.445,3218,-10.4642,150.4258,958
-10.4492,150.4,3635,-10.5075,150.3658,2231
-10.475,150.5258,1499,-10.52,150.5308,1125
-10.4817,150.5758,1184,-10.4942,150.575,499
-10.4892,149.845,1295,-10.4342,149.675,1295
-10.4992,150.2042,3375,-10.515,150.2358,1748
-10.5067,150.6425,2066,-10.5792,150.5958,1889
-10.515,150.5875,1791,-10.5308,150.6225,571
-10.5217,150.1317,2024,-10.5117,150.1458,551
-10.525,150.4892,1830,-10.6017,150.4608,1286
-10.525,150.0025,892,-10.5308,149.9992,492
-10.5333,150.345,2263,-10.5525,150.315,571
-10.535,150.445,1102,-10.5425,150.4475,528
-10.5367,149.9508,1706,-10.5333,149.9717,1592
-10.5375,149.9875,1689,-10.5467,149.9983,1007
-10.5383,142.2192,508,-10.3433,142.36,508
-10.54,150.5192,1646,-10.5308,150.4942,518
-10.5467,150.665,1473,-10.5525,150.6492,1165
-10.5483,149.8825,1069,-10.54,149.8925,955
-10.5492,150.0833,2073,-10.5625,150.0608,1388
-10.5533,150.875,984,-10.565,150.8758,804
-10.5583,150.1208,1492,-10.5617,150.115,561
-10.5625,149.985,1220,-10.5583,149.9967,538
-10.5658,121.8225,1102,-11,122,1102
-10.5658,150.0433,2191,-10.5383,150.11,1699
-10.57,150.8292,1256,-10.6167,150.4925,1256
-10.5708,150.27,2568,-10.5725,150.2625,600
-10.5758,150.8533,1076,-10.5975,150.8417,821
-10.5767,149.9867,1184,-10.5675,149.9883,578
-10.5783,150.5433,1272,-10.6042,150.5392,564
-10.5875,151.1975,528,-10.4642,151.535,528
-10.5992,150.6942,948,-10.6567,150.44,948
-10.6025,150.74,551,-10.6092,150.735,499
-10.61,150.5492,1312,-10.575,150.5233,653
-10.6142,150.98,1548,-10.62,150.9908,823
-10.615,121.5758,554,-10.625,121.6825,554
-10.615,150.775,793,-10.6225,150.7875,498
-10.6167,151.005,1581,-10.2558,151.5442,1581
-10.6233,150.4483,1207,-10.5775,150.4125,604
-10.6317,142.6592,534,-10.3925,142.5725,534
-10.6342,150.7942,866,-10.6492,150.865,817
-10.6383,150.6425,1138,-10.675,150.3583,1138
-10.6383,150.8308,843,-10.6367,150.81,601
-10.6392,152.575,2946,-10.6425,152.5883,601
-10.6458,150.885,826,-10.63,150.8775,518
-10.65,152.6,3034,-10.65,152.61,738
-10.6508,150.1133,593,-10.6425,150.1308,511
-10.6525,150.3658,1397,-10.6517,150.4208,1155
-10.6533,142.2125,777,-10.4167,142.3833,777
-10.6558,152.8067,1276,-10.6708,152.7967,670
-10.6625,123.3542,971,-10.6475,123.32,745
-10.6625,151.0917,498,-10.5025,151.485,498
-10.6642,152.6633,2145,-10.6583,152.6467,528
-10.6692,150.1858,1541,-10.6717,150.2133,1397
-10.6708,150.9225,577,-10.6642,150.51,577
-10.675,142.1292,626,-10.6733,142.1375,554
-10.6758,152.6917,2240,-10.6708,152.6833,754
-10.6775,150.2658,1167,-10.67,150.2742,790
-10.6842,150.2175,1033,-10.6792,150.2092,640
-10.685,152.3608,633,-10.6542,152.5642,633
-10.6858,142.2542,633,-10.6633,142.2217,515
-10.7042,150.2633,748,-10.6817,150.1783,748
-10.7283,150.2967,538,-10.6917,150.1933,538
-10.7542,150.3842,606,-10.7075,150.2367,606
-10.7825,123.2083,1466,-10.59,123.42,1466
-11.0833,152.56,925,-11.1042,152.7308,925
-11.13,152.7325,744,-11.1367,152.7392,744
-11.1317,152.6833,662,-11.1517,152.8217,662
-11.1358,152.335,511,-11.1558,152.6292,511
-11.1742,152.9175,551,-11.1567,152.81,551
-11.1783,153.0233,577,-11.1933,153.02,525
-11.1867,152.9925,866,-11.2775,153.0917,866
-11.205,153.0208,708,-11.1908,153.0075,695
-11.2492,153.1808,974,-11.215,153.0558,974
-11.3817,153.2375,1089,-11.39,153.2467,571
-11.4183,153.2683,1361,-11.4358,153.2958,978
-11.4467,153.3767,1368,-11.4783,153.41,522
-11.4525,153.3267,1272,-11.4625,153.3292,869
-11.4575,153.4492,1555,-11.4783,153.4375,670
-11.4958,153.2825,675,-11.4933,153.2908,636
-11.5067,132.0767,538,-11.5342,132.7,499
-11.5075,153.515,1866,-11.5042,153.4783,984
-11.5083,153.4317,2421,-11.15,153.0367,2421
-11.5142,153.465,2103,-11.51,153.4558,837
-11.5158,153.5808,1482,-11.5067,153.5375,797
-11.5392,153.64,964,-11.5517,153.6508,505
-11.5533,153.5425,1351,-11.53,153.5292,708
-11.56,153.6825,1040,-11.5208,153.6042,598
-11.5683,153.4808,777,-11.5617,153.4933,538
-11.9058,132.985,679,-12.045,133.25,525
-12.275,133.2942,770,-12.3067,133.2933,501
-12.3283,133.2417,879,-12.3533,133.2667,591
-12.3458,133.2025,938,-12.3592,133.1917,551
-12.3492,142.9667,971,-12.3633,142.9617,611
-12.3908,143.215,892,-12.4258,143.2017,676
-12.4017,133.1708,987,-12.3958,133.245,728
-12.4075,133.2,925,-12.3892,133.1842,509
-12.425,133.2808,1000,-12.4325,133.3358,597
